""	"corr"	"length"	"shift"
"773"	0.77	182	-50
"774"	0.89	287	17
"775"	0.86	276	10
"776"	0.79	350	42
"777"	0.76	322	30
"778"	0.77	183	0
"779"	0.74	272	29
"780"	0.74	233	-5
"781"	0.61	154	-50
"782"	0.69	399	2
"783"	0.61	413	0
"784"	0.61	400	-40
"785"	0.52	189	-20
"786"	0.77	1	18
"787"	0.7	111	31
"788"	0.8	279	11
"789"	0.76	302	17
"790"	0.84	329	34
"791"	0.75	246	-37
"792"	0.9	276	26
"793"	0.84	310	2
"794"	0.84	285	-39
"795"	0.87	336	-7
"796"	0.91	279	18
"797"	0.86	370	8
"798"	0.8	334	-32
"799"	0.75	362	22
"800"	0.47	463	12
"801"	0.71	247	0
"802"	0.88	271	-9
"803"	0.56	164	50
"804"	0.9	277	-20
"805"	0.51	186	50
"806"	0.49	149	-50
"807"	0.69	149	31
"808"	0.63	146	-19
"809"	0.75	181	-50
"810"	0.46	343	50
"811"	0.92	256	25
"812"	0.52	217	7
"813"	0.95	320	-19
"814"	0.88	1	-30
"815"	0.68	377	33
"816"	0.94	324	10
"817"	0.74	367	35
"818"	0.88	303	12
"819"	0.84	279	4
"820"	0.67	235	-49
"821"	0.82	323	-36
"822"	0.7	205	50
"823"	0.92	265	-22
"824"	0.79	308	50
"825"	0.66	305	-50
"826"	0.86	300	-12
"827"	0.75	276	0
"828"	0.83	238	-22
"829"	0.89	171	14
"830"	0.82	500	0
"831"	0.72	322	2
"832"	0.74	349	-24
"833"	0.78	287	-29
"834"	0.73	321	-33
"835"	0.82	340	25
"836"	0.68	324	-50
"837"	0.78	278	-16
"838"	0.94	323	5
"839"	0.93	408	0
"840"	0.74	247	50
"841"	0.82	237	-36
"842"	0.52	375	0
"843"	0.63	402	34
"844"	0.48	177	40
"845"	0.78	300	2
"846"	0.93	322	-22
"847"	0.84	336	36
"848"	0.64	348	-50
"849"	0.9	224	0
"850"	0.52	132	50
"851"	0.53	1	11
"852"	0.93	312	3
"853"	0.73	352	-34
"854"	0.91	305	14
"855"	0.74	238	24
"856"	0.87	270	-31
"857"	0.86	340	27
"858"	0.66	389	-17
"859"	0.73	347	50
"860"	0.96	425	0
"861"	0.86	298	6
"862"	0.91	264	-26
"863"	0.74	368	-39
"864"	0.77	228	-4
"865"	0.6	421	21
"866"	0.84	140	-26
"867"	0.66	396	6
"868"	0.81	343	0
"869"	0.78	252	-14
"870"	0.78	253	-32
"871"	0.76	397	2
"872"	0.53	169	50
"873"	0.95	319	19
"874"	0.88	278	27
"875"	0.67	423	23
"876"	0.83	307	-9
"877"	0.65	408	-15
"878"	0.84	173	20
"879"	0.77	363	0
"880"	0.86	310	7
"881"	0.96	338	9
"882"	0.58	141	50
"883"	0.74	368	39
"884"	0.93	327	5
"885"	0.85	287	36
"886"	0.86	254	17
"887"	0.74	402	0
"888"	0.54	1	5
"889"	0.73	381	0
"890"	0.67	404	-48
"891"	0.64	364	0
"892"	0.93	340	1
