""	"corr"	"length"	"shift"
"ST4058"	0.7	272	27
"ST4059"	0.92	319	-6
"ST0398"	0.92	320	-15
"ST4060"	0.89	304	20
"ST0399"	0.9	304	-7
"ST0400"	0.83	331	-12
"ST0401"	0.75	174	-50
"ST0402"	0.9	250	29
"ST4061"	0.86	282	12
"ST0403"	0.86	283	18
"ST0404"	0.87	265	7
"ST4062"	0.57	168	-50
"ST4063"	0.82	338	-27
"ST0405"	0.83	337	-8
"ST0406"	0.77	168	-30
"ST0407"	0.88	254	8
"ST4064"	0.9	214	-5
"ST4065"	0.85	278	18
"ST4066"	0.87	289	22
"ST0408"	0.87	286	0
"ST4067"	0.85	266	48
"ST0409"	0.89	266	3
"ST4068"	0.86	328	16
"ST4069"	0.91	278	32
"ST0410"	0.64	392	-7
"ST4070"	0.98	364	0
"ST4071"	0.77	197	18
"ST0411"	0.97	356	-2
"ST0412"	0.63	409	-14
"ST4072"	0.74	326	-16
"ST4073"	0.9	319	19
"ST4074"	0.46	426	-25
"ST0413"	0.71	382	-37
"ST0414"	0.93	300	13
"ST0415"	0.7	1	50
"ST0416"	0.8	314	-15
"ST0417"	0.76	393	-7
"ST0418"	0.81	328	-22
"ST4075"	0.72	1	50
"ST0419"	0.8	323	-15
"ST0420"	0.55	1	-4
"ST4076"	0.92	285	24
"ST4077"	0.74	348	-48
"ST0421"	0.47	411	-26
"ST0422"	0.92	301	3
"ST0423"	0.85	296	40
"ST4078"	0.93	317	2
"ST0424"	0.91	316	-20
"ST4079"	0.94	184	1
"ST4080"	0.83	272	22
"ST0425"	0.83	267	0
"ST0426"	0.89	284	6
"ST4081"	0.89	254	26
"ST4082"	0.84	316	-1
"ST0427"	0.84	321	-21
"ST4083"	0.91	369	-11
"ST4084"	0.93	315	-8
"ST4085"	0.9	213	-7
"ST0428"	0.66	215	50
"ST0429"	0.78	196	50
"ST4086"	0.83	245	37
"ST0430"	0.87	258	40
"ST4087"	0.93	238	13
"ST4088"	0.84	246	47
"ST0431"	0.85	244	22
"ST4089"	0.83	1	-50
"ST4090"	0.88	254	33
"ST0432"	0.88	253	28
"ST4091"	0.84	264	30
"ST4092"	0.78	377	-18
"ST0433"	0.95	424	0
"ST0434"	0.84	268	-33
"ST4093"	0.92	279	12
"ST0435"	0.93	278	-6
"ST4094"	0.54	473	1
"ST4095"	0.9	252	24
"ST0436"	0.93	250	-2
"ST4096"	0.9	238	0
"ST4097"	0.87	235	27
"ST0437"	0.74	182	-50
"ST0438"	0.9	234	32
