""	"corr"	"length"	"shift"
"YCL051W"	0.86	242	30
"YCL050C"	0.89	259	30
"YCL048W"	0.9	246	14
"YCL045C"	0.89	288	32
"YCL044C"	0.88	277	12
"YCL043C"	0.67	286	0
"YCL040W"	0.84	349	4
"YCL039W"	0.88	295	3
"YCL038C"	0.94	301	18
"YCL037C"	0.9	307	10
"YCL036W"	0.9	307	-5
"YCL035C"	0.85	1	-50
"YCL034W"	0.92	256	10
"YCL033C"	0.91	234	33
"YCL032W"	0.91	232	25
"YCL031C"	0.91	278	3
"YCL030C"	0.85	268	24
"YCL029C"	0.87	231	36
"YCL028W"	0.87	232	41
"YCL027W"	0.9	266	0
"YCL026C-A"	0.92	233	48
"YCL025C"	0.71	364	-50
"YCL024W"	0.91	259	14
"YCL018W"	0.44	340	-50
"YCL017C"	0.87	267	32
"YCL016C"	0.81	203	42
"YCL014W"	0.82	286	9
"YCL012C"	0.91	291	5
"YCL011C"	0.89	296	10
"YCL010C"	0.82	312	-1
"YCL009C"	0.94	275	24
"YCL008C"	0.89	256	24
"YCL005W-A"	0.88	254	22
"YCL005W"	0.94	275	16
"YCL004W"	0.88	258	-23
"YCL001W"	0.9	271	8
"YCR002C"	0.84	296	-6
"YCR003W"	0.84	295	1
"YCR004C"	0.82	203	38
"YCR005C"	0.76	337	-46
"YCR008W"	0.74	275	15
"YCR009C"	0.83	317	-7
"YCR010C"	0.88	316	25
"YCR011C"	0.66	396	-24
"YCR012W"	0.68	310	-50
"YCR014C"	0.92	198	12
"YCR017C"	0.97	325	-5
"YCR020C"	0.84	186	41
"YCR020C-A"	0.85	280	15
"YCR020W-B"	0.85	279	14
"YCR021C"	0.86	320	25
"YCR023C"	0.93	283	11
"YCR024C"	0.8	209	45
"YCR024C-A"	0.34	338	-50
"YCR026C"	0.91	240	9
"YCR027C"	0.66	214	50
"YCR028C"	0.94	307	9
"YCR028C-A"	0.8	269	30
"YCR030C"	0.8	270	-13
"YCR031C"	0.68	391	-18
"YCR032W"	0.83	236	33
"YCR033W"	0.88	338	-21
"YCR034W"	0.85	329	-22
"YCR035C"	0.89	352	-12
"YCR036W"	0.91	358	0
"YCR037C"	0.92	259	5
"YCR042C"	0.91	265	15
"YCR044C"	0.9	269	16
"YCR045C"	0.92	237	1
"YCR046C"	0.88	253	28
"YCR047C"	0.91	336	-12
"YCR048W"	0.91	335	-8
"YCR052W"	0.89	256	11
"YCR053W"	0.9	303	-9
"YCR054C"	0.9	241	24
"YCR057C"	0.92	294	12
"YCR059C"	0.88	246	41
"YCR060W"	0.9	242	8
"YCR063W"	0.87	227	26
"YCR065W"	0.71	371	-50
"YCR066W"	0.79	224	28
"YCR067C"	0.78	353	-36
"YCR068W"	0.75	381	-25
"YCR069W"	0.96	326	-16
"YCR071C"	0.85	265	14
"YCR072C"	0.77	297	1
"YCR073C"	0.69	409	-26
"YCR073W-A"	0.67	406	-19
"YCR075C"	0.86	240	29
"YCR077C"	0.9	269	4
"YCR079W"	0.9	268	3
"YCR081W"	0.88	235	36
"YCR082W"	0.88	273	9
"YCR083W"	0.88	227	24
"YCR084C"	0.69	400	-33
"YCR086W"	0.72	202	50
"YCR088W"	0.9	266	13
"YCR089W"	0.91	267	12
"YCR091W"	0.8	271	25
"YCR092C"	0.87	322	-8
"YCR093W"	0.85	316	-23
"YCR094W"	0.89	293	-4
"YCR098C"	0.93	296	-1
"YCR104W"	0.67	415	30
"YCR105W"	0.91	254	23
"YCR106W"	0.88	270	20
"YCR107W"	0.95	284	-11
"YDL240W"	0.88	274	-1
"YDL238C"	0.89	224	48
"YDL237W"	0.87	222	37
"YDL236W"	0.88	305	2
"YDL235C"	0.91	295	11
"YDL234C"	0.86	245	21
"YDL232W"	0.91	283	4
"YDL231C"	0.67	409	-35
"YDL230W"	0.69	402	-42
"YDL229W"	0.72	386	-50
"YDL227C"	0.87	267	8
"YDL226C"	0.88	288	5
"YDL225W"	0.88	288	-2
"YDL224C"	0.74	394	-24
"YDL222C"	0.67	395	-50
"YDL220C"	0.9	252	21
"YDL219W"	0.89	251	19
"YDL217C"	0.89	284	29
"YDL216C"	0.88	278	22
"YDL214C"	0.85	402	-1
"YDL213C"	0.88	239	22
"YDL212W"	0.88	255	21
"YDL210W"	0.95	273	20
"YDL209C"	0.91	348	-12
"YDL208W"	0.91	349	0
"YDL207W"	0.86	260	16
"YDL205C"	0.92	287	20
"YDL204W"	0.93	289	2
"YDL203C"	0.8	380	-21
"YDL202W"	0.75	380	-29
"YDL201W"	0.86	258	3
"YDL200C"	0.89	256	2
"YDL198C"	0.82	319	-41
"YDL197C"	0.77	344	-26
"YDL195W"	0.91	331	-10
"YDL194W"	0.9	282	-3
"YDL193W"	0.87	275	17
"YDL192W"	0.88	351	-19
"YDL191W"	0.69	395	-41
"YDL190C"	0.93	293	5
"YDL189W"	0.92	293	3
"YDL188C"	0.92	256	34
"YDL185W"	0.86	348	-7
"YDL184C"	0.69	384	-35
"YDL183C"	0.84	271	6
"YDL182W"	0.63	271	8
"YDL181W"	0.89	343	-12
"YDL179W"	0.87	282	12
"YDL178W"	0.84	225	28
"YDL176W"	0.91	281	14
"YDL175C"	0.91	277	5
"YDL174C"	0.92	254	5
"YDL173W"	0.9	257	30
"YDL171C"	0.69	337	-50
"YDL170W"	0.7	399	-42
"YDL169C"	0.89	255	19
