""	"r"	"width"	"shift"
"YCR089W"	0.9	270	38
"YCR091W"	0.78	274	50
"YCR092C"	0.85	314	19
"YCR093W"	0.86	311	0
"YCR094W"	0.88	293	21
"YCR098C"	0.87	302	25
"YCR104W"	0.68	378	50
"YCR105W"	0.88	257	48
"YCR106W"	0.87	272	45
"YCR107W"	0.95	282	13
"YDL240W"	0.85	273	22
"YDL238C"	0.54	222	50
"YDL237W"	0.76	223	50
"YDL236W"	0.87	305	26
"YDL235C"	0.88	298	36
"YDL234C"	0.86	246	47
"YDL232W"	0.89	284	29
"YDL231C"	0.8	408	-17
"YDL230W"	0.76	412	-33
"YDL229W"	0.87	373	-31
"YDL227C"	0.86	269	34
"YDL226C"	0.86	289	30
"YDL225W"	0.86	288	22
"YDL224C"	0.91	392	-10
"YDL222C"	0.79	384	-35
"YDL220C"	0.88	254	46
"YDL219W"	0.88	253	45
"YDL217C"	0.89	284	50
"YDL216C"	0.88	279	47
"YDL214C"	0.97	412	0
"YDL213C"	0.85	241	47
"YDL212W"	0.85	256	46
"YDL210W"	0.9	277	46
"YDL209C"	0.87	334	14
"YDL208W"	0.89	339	26
"YDL207W"	0.85	262	42
"YDL205C"	0.9	288	45
"YDL204W"	0.91	290	27
"YDL203C"	0.92	384	-7
"YDL202W"	0.92	384	-14
"YDL201W"	0.83	261	29
"YDL200C"	0.86	258	28
"YDL198C"	0.92	330	-21
"YDL197C"	0.77	329	1
"YDL195W"	0.9	327	15
"YDL194W"	0.88	283	20
"YDL193W"	0.85	276	42
"YDL192W"	0.93	351	1
"YDL191W"	0.83	395	-27
"YDL190C"	0.91	295	30
"YDL189W"	0.9	293	28
"YDL188C"	0.86	259	50
"YDL185W"	0.86	337	14
"YDL184C"	0.7	428	-33
"YDL183C"	0.83	273	32
"YDL182W"	0.62	270	34
"YDL181W"	0.9	353	5
"YDL179W"	0.86	284	38
"YDL178W"	0.82	228	50
"YDL176W"	0.89	282	38
"YDL175C"	0.88	279	30
"YDL174C"	0.89	257	31
"YDL173W"	0.87	260	50
"YDL171C"	0.69	386	-50
"YDL170W"	0.69	446	-41
"YDL169C"	0.87	258	45
"YDL168W"	0.88	271	37
"YDL167C"	0.78	249	50
"YDL166C"	0.8	273	32
"YDL165W"	0.8	270	35
"YDL164C"	0.88	256	44
"YDL161W"	0.86	238	39
"YDL160C"	0.89	313	21
"YDL159W"	0.9	311	1
"YDL155W"	0.81	319	13
"YDL154W"	0.79	202	45
"YDL153C"	0.85	282	36
"YDL150W"	0.85	283	37
"YDL149W"	0.83	271	50
"YDL148C"	0.8	325	19
"YDL147W"	0.8	327	24
"YDL146W"	0.84	260	50
"YDL145C"	0.84	279	37
"YDL143W"	0.85	288	29
"YDL142C"	0.87	269	39
"YDL141W"	0.87	270	46
"YDL140C"	0.87	327	0
"YDL139C"	0.91	275	24
"YDL138W"	0.88	435	0
"YDL137W"	0.97	358	-4
"YDL136W"	0.72	428	-42
"YDL135C"	0.73	308	25
"YDL134C"	0.89	317	23
"YDL133C-A"	0.46	112	50
"YDL132W"	0.93	297	6
"YDL131W"	0.78	344	-25
"YDL130W-A"	0.8	313	-12
"YDL130W"	0.97	432	0
"YDL128W"	0.78	333	1
"YDL127W"	0.9	386	-4
"YDL126C"	0.91	289	24
"YDL125C"	0.73	1	-28
"YDL124W"	0.56	432	-30
"YDL123W"	0.91	300	29
"YDL122W"	0.94	311	8
"YDL120W"	0.91	314	23
"YDL117W"	0.8	271	41
"YDL116W"	0.87	286	37
"YDL115C"	0.87	256	47
"YDL113C"	0.82	314	32
"YDL112W"	0.82	311	29
"YDL111C"	0.95	372	8
"YDL110C"	0.92	310	-2
"YDL108W"	0.78	217	50
"YDL107W"	0.39	1	-11
"YDL106C"	0.81	246	50
"YDL105W"	0.86	257	35
"YDL104C"	0.73	238	50
"YDL103C"	0.82	244	38
"YDL102W"	0.82	246	46
"YDL101C"	0.89	264	28
"YDL100C"	0.87	252	35
"YDL099W"	0.87	254	44
"YDL098C"	0.8	272	50
"YDL097C"	0.85	375	-30
"YDL095W"	0.92	389	-7
"YDL093W"	0.83	270	41
"YDL092W"	0.9	280	34
"YDL091C"	0.83	215	46
"YDL090C"	0.82	257	50
"YDL089W"	0.9	251	23
"YDL088C"	0.79	255	50
"YDL087C"	0.82	239	50
"YDL085W"	0.73	1	-36
"YDL084W"	0.88	321	18
"YDL083C"	0.62	293	50
"YDL082W"	0.71	420	-36
"YDL081C"	0.92	350	-1
"YDL080C"	0.89	279	31
"YDL079C"	0.87	271	50
"YDL078C"	0.82	238	50
"YDL077C"	0.87	223	44
"YDL076C"	0.71	427	-29
"YDL075W"	0.61	478	-23
"YDL074C"	0.91	320	19
"YDL072C"	0.89	345	-13
"YDL070W"	0.96	288	8
"YDL069C"	0.59	231	50
"YDL067C"	0.74	256	36
"YDL066W"	0.75	217	50
"YDL065C"	0.83	260	50
"YDL064W"	0.84	262	50
"YDL063C"	0.78	259	50
"YDL061C"	0.84	407	-15
"YDL060W"	0.83	416	-17
"YDL059C"	0.78	224	50
"YDL058W"	0.75	238	50
"YDL056W"	0.86	233	49
"YDL055C"	0.77	406	-28
"YDL054C"	0.87	259	34
"YDL053C"	0.9	281	31
"YDL052C"	0.94	360	20
"YDL051W"	0.9	356	-35
"YDL049C"	0.85	312	14
"YDL048C"	0.72	221	50
"YDL047W"	0.77	290	0
"YDL046W"	0.8	273	41
"YDL045W-A"	0.86	288	20
"YDL045C"	0.76	252	50
"YDL044C"	0.71	460	-3
"YDL043C"	0.86	273	40
"YDL042C"	0.91	306	25
"YDL040C"	0.88	280	44
"YDL039C"	0.62	450	0
"YDL037C"	0.93	361	-1
"YDL036C"	0.9	272	45
"YDL035C"	0.73	257	50
"YDL033C"	0.88	303	32
"YDL031W"	0.88	302	29
"YDL030W"	0.9	258	49
"YDL029W"	0.85	289	26
"YDL028C"	0.89	283	21
"YDL025C"	0.91	261	37
"YDL024C"	0.87	411	-11
"YDL022W"	0.61	344	-23
"YDL021W"	0.86	324	26
"YDL020C"	0.5	465	-48
"YDL019C"	0.96	319	10
"YDL018C"	0.63	260	50
"YDL017W"	0.86	224	27
"YDL015C"	0.84	317	0
"YDL014W"	0.84	320	13
"YDL013W"	0.85	287	38
"YDL012C"	0.83	264	45
"YDL010W"	0.86	406	0
"YDL008W"	0.88	280	37
"YDL007W"	0.74	425	-24
"YDL006W"	0.9	283	17
"YDL005C"	0.82	273	6
"YDL004W"	0.82	288	33
"YDL003W"	0.93	292	17
"YDL002C"	0.81	333	-9
"YDL001W"	0.82	332	16
"YDR001C"	0.77	369	-31
"YDR002W"	0.76	362	-45
"YDR003W"	0.91	322	19
"YDR004W"	0.89	276	49
"YDR005C"	0.82	288	38
"YDR006C"	0.86	281	39
"YDR007W"	0.85	275	42
"YDR011W"	0.72	215	46
"YDR012W"	0.91	327	7
"YDR013W"	0.84	252	32
"YDR014W"	0.45	1	-20
"YDR014W-A"	0.49	1	-19
"YDR016C"	0.89	284	22
"YDR017C"	0.85	268	29
"YDR019C"	0.79	272	50
"YDR021W"	0.77	252	50
"YDR022C"	0.85	392	-10
"YDR023W"	0.79	362	8
"YDR025W"	0.65	462	-29
"YDR026C"	0.8	252	12
"YDR027C"	0.91	302	24
"YDR028C"	0.85	239	45
"YDR030C"	0.88	274	40
"YDR031W"	0.88	275	49
"YDR032C"	0.85	289	46
"YDR033W"	0.72	484	-5
"YDR034C"	0.85	319	3
"YDR035W"	0.81	314	12
"YDR036C"	0.92	338	10
"YDR037W"	0.95	345	9
"YDR040C"	0.86	367	-32
"YDR041W"	0.9	295	16
"YDR043C"	0.65	388	-5
"YDR044W"	0.85	202	40
"YDR045C"	0.94	278	38
"YDR046C"	0.62	477	-31
"YDR047W"	0.79	238	50
"YDR050C"	0.57	477	-47
"YDR051C"	0.87	278	37
"YDR052C"	0.89	326	11
"YDR054C"	0.87	292	27
"YDR055W"	0.72	287	30
"YDR057W"	0.93	286	36
"YDR058C"	0.59	492	-7
"YDR059C"	0.73	237	47
"YDR060W"	0.84	288	38
"YDR062W"	0.85	302	6
"YDR063W"	0.84	266	22
"YDR064W"	0.91	383	-21
"YDR065W"	0.61	258	50
"YDR068W"	0.92	263	48
"YDR069C"	0.94	310	19
"YDR071C"	0.89	329	33
"YDR072C"	0.62	369	-50
"YDR073W"	0.76	285	23
"YDR074W"	0.81	388	-4
"YDR075W"	0.89	280	22
"YDR076W"	0.9	282	11
"YDR078C"	0.85	255	50
"YDR079W"	0.85	255	38
"YDR079C-A"	0.66	210	50
"YDR080W"	0.79	217	50
"YDR081C"	0.83	278	44
"YDR082W"	0.83	275	27
"YDR083W"	0.8	254	50
"YDR084C"	0.79	267	50
"YDR086C"	0.83	304	-2
"YDR087C"	0.84	268	50
"YDR088C"	0.77	217	33
"YDR091C"	0.87	290	36
"YDR092W"	0.82	263	28
"YDR093W"	0.83	359	-14
"YDR096W"	0.79	304	50
"YDR097C"	0.78	283	42
"YDR098C"	0.65	458	-45
"YDR099W"	0.93	283	44
"YDR100W"	0.92	313	3
"YDR101C"	0.82	357	-5
"YDR103W"	0.82	354	-14
"YDR104C"	0.78	246	37
"YDR105C"	0.88	250	47
"YDR106W"	0.86	252	50
"YDR107C"	0.88	259	50
"YDR108W"	0.88	255	50
"YDR110W"	0.83	245	32
"YDR113C"	0.88	290	26
"YDR116C"	0.86	271	28
"YDR117C"	0.89	278	38
"YDR118W"	0.9	278	41
"YDR120C"	0.78	288	33
"YDR121W"	0.78	287	29
"YDR122W"	0.75	282	47
"YDR123C"	0.92	362	11
"YDR125C"	0.8	223	50
"YDR126W"	0.75	1	-32
"YDR127W"	0.91	307	23
"YDR128W"	0.83	285	41
"YDR129C"	0.88	317	-24
"YDR130C"	0.88	274	49
"YDR135C"	0.76	387	-14
"YDR137W"	0.85	255	37
"YDR138W"	0.87	309	20
"YDR139C"	0.85	271	37
"YDR140W"	0.86	272	44
"YDR141C"	0.88	290	35
"YDR142C"	0.92	243	20
"YDR143C"	0.86	283	29
"YDR144C"	0.86	292	48
"YDR145W"	0.81	234	50
"YDR146C"	0.87	311	30
"YDR147W"	0.72	397	-33
"YDR148C"	0.71	228	50
"YDR150W"	0.84	1	-41
"YDR151C"	0.74	408	-28
"YDR152W"	0.73	426	-23
"YDR153C"	0.72	316	17
"YDR155C"	0.6	484	-38
"YDR156W"	0.69	443	-38
"YDR158W"	0.75	391	-39
"YDR159W"	0.83	270	25
"YDR160W"	0.85	267	42
"YDR162C"	0.74	450	-11
"YDR163W"	0.8	242	46
"YDR164C"	0.83	433	-7
"YDR165W"	0.84	265	48
"YDR166C"	0.74	231	42
"YDR167W"	0.79	234	50
"YDR168W"	0.75	411	-24
"YDR169C"	0.8	320	11
